Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
04-01-2010,1121,1151,1121,1134,1135.6,101651,1157.18
05-01-2010,1146.8,1149,1128.75,1135,1134.6,59504,676.47
06-01-2010,1140,1164.25,1130.05,1137,1139.6,128908,1482.84
07-01-2010,1142,1159.4,1119.2,1141,1144.15,117871,1352.98
08-01-2010,1156,1172,1140,1141.2,1144.05,170063,1971.42
11-01-2010,1154,1159.45,1134.1,1140.1,1137,58910,674.55
12-01-2010,1150,1156.9,1117.05,1141.1,1143.65,113364,1296.07
13-01-2010,1130,1156.8,1125,1138.3,1142.25,55644,634.85
14-01-2010,1148.5,1168.5,1145.15,1148,1148.2,94256,1084.88
15-01-2010,1159.9,1232,1151,1205,1207.05,491686,5937.04
18-01-2010,1215,1262.3,1197,1234.05,1236.25,364935,4503.03
19-01-2010,1247,1275,1215.1,1220,1221.25,283358,3547.08
20-01-2010,1225.9,1241.9,1178.6,1185.15,1186.2,144440,1739.8
21-01-2010,1181,1187.8,1136,1158.3,1150.15,107281,1247.78
22-01-2010,1145,1179.9,1094.1,1161.05,1170.75,129148,1466.66
25-01-2010,1155,1179.45,1146,1148.05,1154.7,51565,598.59
27-01-2010,1158.9,1173.9,1044,1047.65,1058.6,157451,1755.52
28-01-2010,1078,1084,1032,1045,1039.3,161794,1701.87
29-01-2010,1039.3,1074.7,1005,1072.4,1068.95,101678,1055.75
01-02-2010,1064,1148.9,1051.3,1145.15,1140.1,141835,1580.21
02-02-2010,1150,1169,1100.05,1109.9,1107.95,72595,824.5
03-02-2010,1119.4,1145.9,1105.1,1119,1118.8,83926,944.75
04-02-2010,1125.8,1139.95,1085.1,1090,1090.3,62220,697.16
05-02-2010,1051,1089,1016.6,1074.1,1070.45,91747,973.34
06-02-2010,1071,1088,1070,1088,1080.4,12254,132.49
08-02-2010,1089.8,1109,1065.55,1097.35,1095.65,59599,650.37
09-02-2010,1094,1114.1,1080,1111.8,1109,54591,601.79
10-02-2010,1110,1127.9,1035,1096,1095.45,48414,540.04
11-02-2010,1101.05,1129,1095.1,1120.5,1120.55,212087,2371.54
15-02-2010,1127.5,1156.9,1127,1142,1139.65,132333,1514.86
16-02-2010,1149,1153,1131,1140,1137.9,62820,715.96
17-02-2010,1175,1190,1139.05,1144,1142.75,72599,834.44
18-02-2010,1155,1155,1126.65,1132,1131,44972,512.59
19-02-2010,1134.4,1151.7,1096.3,1117,1116.4,79508,895.91
22-02-2010,1129,1147,1086.15,1090.3,1094,83180,925.17
23-02-2010,1091,1095,1062,1063,1065,98527,1059.5
24-02-2010,1065,1076.8,1037.2,1041.3,1046.45,333595,3524.43
25-02-2010,1022.65,1056,1001,1017,1011.15,209785,2143.2
26-02-2010,1021.9,1040.8,1010,1014,1013.55,81532,835.82
02-03-2010,1035,1050,1025.3,1042.9,1042,65588,683.32
03-03-2010,1052,1059.8,1030,1035,1035.85,69608,725.71
04-03-2010,1038,1053,1031,1050,1048.9,68310,713.91
05-03-2010,1057.9,1077.9,1056,1065.4,1064.3,94744,1009.64
08-03-2010,1074,1080.1,1067,1070,1069.8,38993,418.11
09-03-2010,1061.15,1073.8,1057.2,1064.45,1063.75,32654,347.93
10-03-2010,1065,1078,1057,1062.7,1059.55,27644,294.97
11-03-2010,1074.9,1074.9,1041.65,1045,1044.85,39357,413.13
12-03-2010,1050,1054.9,1028,1037,1036.15,35454,368.38
15-03-2010,1053,1053,1016,1018.05,1019.55,71358,729.3
16-03-2010,1024,1034,1016.1,1030,1029.2,49729,509.49
17-03-2010,1033,1047,1031,1045,1038.85,52955,550.13
18-03-2010,1042,1063,1038.05,1049,1049.25,69265,728.9
19-03-2010,1060,1074.9,1056,1058,1063.1,97937,1046.57
22-03-2010,1057.9,1057.9,1040,1050.2,1050.2,25761,270.15
23-03-2010,1059,1068.9,1036.25,1050.1,1045.1,33295,347.86
25-03-2010,1053,1053,1029.4,1031,1033.85,49233,509.93
26-03-2010,1033,1057.9,1033,1048.45,1050.45,37075,388.37
29-03-2010,1044.2,1074.6,1044.2,1057,1057.6,38932,413.84
30-03-2010,1053.2,1073,1043,1050,1047.95,29944,317.39
31-03-2010,1050.25,1059.55,1041,1050,1049.6,32181,338.19
01-04-2010,1053.5,1068,1052,1059,1059,22054,234.19
05-04-2010,1065,1073.7,1058.15,1064.5,1064.15,33918,361.46
06-04-2010,1070,1102.4,1066,1094.05,1087.85,135461,1475.33
07-04-2010,1092,1105,1068,1075.5,1076.45,68628,746.83
08-04-2010,1075,1090,1065,1068.35,1069.6,33589,360.61
09-04-2010,1165,1165,1062,1079,1077.05,134661,1449.58
12-04-2010,1085,1102,1075,1079,1081.3,55826,608.17
13-04-2010,1085,1092,1072,1074.25,1074.65,32519,350.4
15-04-2010,1080,1089.95,1065,1065,1067.45,19955,214.38
16-04-2010,1067.5,1068.8,1042.2,1044.9,1046.3,32714,343.48
19-04-2010,1040,1040,1017,1035.35,1036.45,67384,694.65
20-04-2010,1039.95,1049,1026,1033,1038.55,26486,275.53
21-04-2010,1045,1055,1027,1027.6,1031.25,60178,624
22-04-2010,1028,1042,1020,1020.05,1025.6,78477,807.83
23-04-2010,1028,1037,1018.7,1036.5,1032.95,72721,744.49
26-04-2010,1040,1054,1030.7,1046.6,1050.4,65769,685.94
27-04-2010,1049,1066.9,1040.25,1048.55,1050.9,67007,709.04
28-04-2010,1032,1056.5,1031.1,1047,1047.05,145178,1521.29
29-04-2010,1044.4,1064.95,1037,1048,1049.4,57167,603.34
30-04-2010,1055,1058.25,1045,1049.4,1048.05,14319,150.33
03-05-2010,1045,1054.8,1035,1039,1038.05,65226,678.02
04-05-2010,1049.7,1049.7,1021.5,1026.95,1026.7,25181,259.66
05-05-2010,1005,1026,991.85,1012.15,1012.2,40409,408.22
06-05-2010,1040,1040,1007,1015,1014.85,15665,159.32
07-05-2010,1009,1011,984.4,988,988.25,25673,255.21
10-05-2010,1009,1017.85,992,1004.2,1006.5,11263,113.15
11-05-2010,1007,1017,991,991.2,995.2,11848,118.64
12-05-2010,1018,1018,990.85,998,995,9674,96.54
13-05-2010,1014,1014,999,1012.4,1009.4,10377,104.39
14-05-2010,1005.4,1013.7,995,1002,1005.05,10416,105.09
17-05-2010,1012,1012,980.1,1003.15,1002.65,20327,202.1
18-05-2010,997,1057,990,1050,1048.6,78808,818.97
19-05-2010,1025,1043,978.1,988,984.85,39641,400.11
20-05-2010,999.7,1007.95,984,992.75,991.05,10530,104.41
21-05-2010,980,1000,965,995.05,995.4,52638,519.88
24-05-2010,1005,1010,995,998,999.5,7614,76.23
25-05-2010,1005,1005,970.05,975,975.7,104754,1021.56
26-05-2010,975,998.95,965.7,974.1,976.7,9448,92.25
27-05-2010,996.8,996.8,952,962.9,963.9,51296,495.81
28-05-2010,983.9,984.9,970,980,981.3,20813,203.88
31-05-2010,975,977,962,972,970.55,28279,274.43
01-06-2010,962,969.9,957,963.9,965,28317,272.58
02-06-2010,970,979.95,962,967,968.25,8483,82.19
03-06-2010,980,1008.7,971,994.9,994,38011,378.2
04-06-2010,999,1009.8,995,997.05,1000.55,21172,212.14
07-06-2010,990,995,973,975,978.05,7609,74.62
08-06-2010,968,1007.65,968,997.85,996.75,28797,286.29
09-06-2010,1005.7,1006,992.25,993.9,996.95,6902,68.86
10-06-2010,997,1005.6,991.1,996,999.3,6982,69.69
11-06-2010,1009,1018,993,997.8,1001.15,33032,332.21
14-06-2010,1010,1025,998,1018.9,1013.7,15734,158.86
15-06-2010,1015,1018,1004.5,1010,1011.55,6288,63.53
16-06-2010,1012,1018.8,1004,1015.75,1010.4,16351,165.42
17-06-2010,1006.5,1020,1001.25,1013,1013.75,9701,98.15
18-06-2010,1020,1025,1006,1020.25,1021.85,16882,171.98
21-06-2010,1028,1047,1023.1,1033,1036.35,66066,686.6
22-06-2010,1046,1046,1018,1018.5,1021.2,36936,380.58
23-06-2010,1018,1032.8,1018,1021.2,1027.5,17893,183.65
24-06-2010,1033.2,1044.95,1001,1007.9,1003.7,105465,1063.89
25-06-2010,1001,1015,995.1,1008,1008.95,13163,132.68
28-06-2010,1010,1018,1002.7,1009,1010.2,9068,91.69
29-06-2010,1012,1013,991.05,999,998.3,13392,134.12
30-06-2010,998,1006.4,985.1,995.1,1000.6,11286,112.92
01-07-2010,1000.6,1006.95,990,993,995,7369,73.56
02-07-2010,1000,1014.8,996.2,1001.8,1000.2,23677,238.05
05-07-2010,1000,1009.35,981.7,985.1,984.4,24764,245.67
06-07-2010,999.75,999.75,987.05,990.2,996.4,133016,1318.51
07-07-2010,997,1018.05,995.05,999,1002.15,43552,439.68
08-07-2010,1010,1016,993.1,998,999.35,26904,270.52
09-07-2010,1000,1012.7,993,1001,1001.25,31534,316.3
12-07-2010,1009,1011,997,998.05,999.25,27157,272.08
13-07-2010,1004.95,1009.4,990.05,996.4,996.2,45550,454.47
14-07-2010,1004,1034.95,990.25,1012.7,1014.25,110815,1123.04
15-07-2010,1014,1030,1013,1020,1018.2,39177,400.41
16-07-2010,1022,1025.15,1002,1004,1003.95,19952,201.69
19-07-2010,1000,1050,1000,1022,1020.35,89310,920.18
20-07-2010,1025,1031.9,1015,1022,1021.25,16064,164.35
21-07-2010,1023,1039,1021,1031,1033.5,24002,247.12
22-07-2010,1035.5,1045,1023,1026,1028.15,42805,442.62
23-07-2010,1039.9,1039.9,1015,1015.25,1020.55,29215,300.16
26-07-2010,1021,1030,1013,1013.05,1017.5,36566,373.57
